metric,value
first_ceasefire_days,89
iran_civilian_deaths_recorded,0
iran_military_deaths_recorded,3
days_with_recorded_strikes,34
strike_locations_recorded,51
health_system_insult_events_in_register,8
facility_damage_pct_of_final_min,99.4
facility_damage_pct_of_final_max,99.8
lebanese_deaths_recorded,1200
insult_event_ids,EVT-0452; EVT-0457; EVT-0464; EVT-0506; EVT-0548; EVT-0633; EVT-0726; EVT-0909
