outcome,phase_1,phase_2,mean_1,sd_1,mean_2,sd_2,welch_t,p_raw,hedges_g,p_holm
killed_total,Major Combat,First Ceasefire,123.6,47.053052436475824,13.651685393258427,21.845064516226078,14.11083364754183,1.824889130002054e-18,3.4382094619972503,7.299556520008216e-18
killed_total,Major Combat,Resumption,123.6,47.053052436475824,1.8695652173913044,3.1378097141750874,16.29927883281768,3.684136035555689e-19,3.1915738216243743,1.8420680177778443e-18
killed_total,Major Combat,Diplomatic Pause,123.6,47.053052436475824,0.6111111111111112,2.592724864350674,16.475850867141652,2.6585085706770993e-19,3.08795100264811,1.5951051424062595e-18
killed_total,First Ceasefire,Resumption,13.651685393258427,21.845064516226078,1.8695652173913044,3.1378097141750874,4.896501041020717,3.7517697380967946e-06,0.5973514357587434,7.503539476193589e-06
killed_total,First Ceasefire,Diplomatic Pause,13.651685393258427,21.845064516226078,0.6111111111111112,2.592724864350674,5.4452454040432645,3.821011482027102e-07,0.6465258470563634,1.1463034446081304e-06
killed_total,Resumption,Diplomatic Pause,1.8695652173913044,3.1378097141750874,0.6111111111111112,2.592724864350674,1.4056446248226733,0.16777546359935233,0.4236840048997371,0.16777546359935233
iran_civ,Major Combat,First Ceasefire,13.075,8.147321409754628,0.0,0.0,10.14978502190864,1.6767514818863008e-12,2.8788496369628,1.0060508891317804e-11
iran_civ,Major Combat,Resumption,13.075,8.147321409754628,0.8695652173913043,1.7915038838941724,9.099886578072603,8.675154847159886e-12,1.825713551667843,3.470061938863954e-11
iran_civ,Major Combat,Diplomatic Pause,13.075,8.147321409754628,0.0,0.0,10.14978502190864,1.6767514818863008e-12,1.897170556201862,1.0060508891317804e-11
iran_civ,First Ceasefire,Resumption,0.0,0.0,0.8695652173913043,1.7915038838941724,-2.327814256297667,0.02951638518088965,-1.0779320298359172,0.08854915554266896
iran_civ,First Ceasefire,Diplomatic Pause,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
iran_civ,Resumption,Diplomatic Pause,0.8695652173913043,1.7915038838941724,0.0,0.0,2.327814256297667,0.02951638518088965,0.6337489583042077,0.08854915554266896
leb_all,Major Combat,First Ceasefire,44.525,39.12045009179489,13.48314606741573,21.74026028506818,4.70272879395572,2.046945898057012e-05,1.0927331091898078,4.093891796114024e-05
leb_all,Major Combat,Resumption,44.525,39.12045009179489,0.043478260869565216,0.2085144140570748,7.191095570370184,1.172366122595998e-08,1.404461684606418,7.034196735575988e-08
leb_all,Major Combat,Diplomatic Pause,44.525,39.12045009179489,0.6111111111111112,2.592724864350674,7.065107316665545,1.5732370185578454e-08,1.3257517836377835,7.866185092789227e-08
leb_all,First Ceasefire,Resumption,13.48314606741573,21.74026028506818,0.043478260869565216,0.2085144140570748,5.8309795131441,8.929954152135388e-08,0.6864292425162121,3.571981660854155e-07
leb_all,First Ceasefire,Diplomatic Pause,13.48314606741573,21.74026028506818,0.6111111111111112,2.592724864350674,5.399082087421869,4.654975172890048e-07,0.6412380458541541,1.3964925518670143e-06
leb_all,Resumption,Diplomatic Pause,0.043478260869565216,0.2085144140570748,0.6111111111111112,2.592724864350674,-0.9265118115343305,0.3670193348229925,-0.323832797305167,0.3670193348229925
