population,basis,direct_killed
Iran (total),daily series (lower bound),3166
Iran (total),dashboard snapshot (upper bound),3636
Iran (total),peak pre-re-anchoring snapshot (Day 56; see 07),9226
Iran (civilian),daily series,543
Lebanon (all),daily series (lower bound),2993
Lebanon (all),dashboard snapshot (upper bound),4308
"Children (Iran, snapshot)",dashboard snapshot,379
